"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",7,NA,"PostPair10",NA,NA,36560,3,37,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",9,NA,"PostPair10",NA,NA,36596,3,39,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",13,NA,"RA",NA,NA,36651,3,33,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",26,NA,"RA",NA,NA,36846,3,44,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",41,NA,"RA",NA,NA,37054,3,48,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",54,NA,"RA",NA,NA,37246,3,46,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",75,NA,"RA",NA,NA,37516,3,56,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",84,NA,"RA",NA,NA,37651,3,57,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",96,NA,"RA",NA,NA,37809,3,64,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",110,NA,"RA",NA,NA,37999,3,65,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",161,NA,"RA",NA,NA,38545,3,69,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",175,NA,"RA",NA,NA,38717,3,79,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",189,NA,"RA",NA,NA,38831,3,75,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",205,NA,"PreEviction16",NA,NA,39040,3,94,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",210,NA,"PreEviction16","RA",NA,39112,3,86,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",214,NA,"PostEviction14",NA,NA,39128,3,93,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",223,NA,"RA",NA,NA,39219,3,96,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",231,NA,"PostEviction14",NA,NA,39317,3,89,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",238,NA,"RA",NA,NA,39370,3,91,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",252,NA,"RA",NA,NA,39543,3,88,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",266,NA,"RA",NA,NA,39694,3,87,100
