"ObsRef","ObsFileID","PrevObs_TimeDiff","ObsType","DataSource","ColonyRef","Colony","ObsDateTime_Start","ObsDate_Start","ObsTime_Start","ObsDuration_Total_S","ObsDuration_Total_Hms","ObsDuration_Cont_S","ObsDateTime_Stop","ObsDate_Stop","ObsTime_Stop","TotalScan","TotalScan_Est","ReplicatesCount","TotalScan_Calc"
6981,1071,-0.704249997933706,"Scan","MR_RawData",287,"Cousteau",2019-08-08 15:33:16,2019-08-08,15:33:16.064,10560,02:56:00,2473,2019-08-08 18:29:16,2019-08-08,"18:29:16",45,44,1,45
8386,2455,NA,"Scan","MR_RawData",17,"Curie",2021-11-15 07:06:23,2021-11-15,07:06:23.275,10560,02:56:00,3061,2021-11-15 10:02:23,2021-11-15,"10:02:23",45,44,1,45
8388,2456,-0.0866000016530355,"Scan","MR_RawData",17,"Curie",2021-11-15 10:02:18,2021-11-15,10:02:18.079,10560,02:56:00,5063,2021-11-15 12:58:18,2021-11-15,"12:58:18",45,44,1,45
7745,1799,NA,"Scan","MR_RawData",279,"DaVinci",2018-01-25 07:11:33,2018-01-25,07:11:33.638,10800,03:00:00,5724,2018-01-25 10:11:33,2018-01-25,"10:11:33",46,45,1,44
7746,1800,-3.31473333438238,"Scan","MR_RawData",279,"DaVinci",2018-01-25 10:08:14,2018-01-25,10:08:14.754,10800,03:00:00,4447,2018-01-25 13:08:14,2018-01-25,"13:08:14",46,45,1,46
6949,1039,NA,"Scan","MR_RawData",279,"DaVinci",2019-07-24 16:41:36,2019-07-24,16:41:36.324,7440,02:04:00,2363,2019-07-24 18:45:36,2019-07-24,"18:45:36",32,31,1,31
6950,1040,-0.371166666348775,"Scan","MR_RawData",279,"DaVinci",2019-07-24 18:45:14,2019-07-24,18:45:14.054,3120,00:52:00,1305,2019-07-24 19:37:14,2019-07-24,"19:37:14",14,13,1,14
8530,2595,NA,"Scan","MR_RawData",670,"DarlingBrew",2022-01-21 07:06:13,2022-01-21,07:06:13.878,10560,02:56:00,2405,2022-01-21 10:02:13,2022-01-21,"10:02:13",45,44,1,45
8534,2596,-1.41068333387375,"Scan","MR_RawData",670,"DarlingBrew",2022-01-21 10:00:49,2022-01-21,10:00:49.237,10560,02:56:00,1039,2022-01-21 12:56:49,2022-01-21,"12:56:49",45,44,1,45
8744,2686,NA,"Scan","MR_RawData",670,"DarlingBrew",2022-03-22 13:20:30,2022-03-22,13:20:30.569,10800,03:00:00,1583,2022-03-22 16:20:30,2022-03-22,"16:20:30",46,45,1,45
8746,2687,-3.76898333628972,"Scan","MR_RawData",670,"DarlingBrew",2022-03-22 16:16:44,2022-03-22,16:16:44.430,10560,02:56:00,2155,2022-03-22 19:12:44,2022-03-22,"19:12:44",45,44,1,45
8979,2773,NA,"Scan","MR_RawData",692,"Delirium",2022-05-12 16:50:02,2022-05-12,16:50:02.539,8253,02:17:33,1520,2022-05-12 19:07:35,2022-05-12,"19:07:35",22,34,1,21
8983,2774,-61.1435166676839,"Scan","MR_RawData",692,"Delirium",2022-05-12 18:06:26,2022-05-12,18:06:26.928,5520,01:32:00,2043,2022-05-12 19:38:26,2022-05-12,"19:38:26",24,23,1,24
6840,944,NA,"Scan","MR_RawData",322,"Durrell",2019-05-29 07:38:54,2019-05-29,07:38:54.856,17760,04:56:00,3977,2019-05-29 12:34:54,2019-05-29,"12:34:54",76,74,1,48
6841,945,-105.470349999269,"Scan","MR_RawData",322,"Durrell",2019-05-29 10:49:26,2019-05-29,10:49:26.635,21360,05:56:00,8064,2019-05-29 16:45:26,2019-05-29,"16:45:26",90,89,1,90
6872,967,NA,"Scan","MR_RawData",322,"Durrell",2019-06-07 13:41:59,2019-06-07,13:41:59.296,18720,05:12:00,3954,2019-06-07 18:53:59,2019-06-07,"18:53:59",79,78,1,78
6870,965,-4.57981666723887,"Scan","MR_RawData",322,"Durrell",2019-06-07 18:49:24,2019-06-07,18:49:24.507,2640,00:44:00,956,2019-06-07 19:33:24,2019-06-07,"19:33:24",12,11,1,12
8083,2120,NA,"Scan","MR_RawData",563,"Erotics",2020-12-08 13:10:22,2020-12-08,13:10:22.216,10560,02:56:00,674,2020-12-08 16:06:22,2020-12-08,"16:06:22",45,44,1,45
8084,2121,-1.56341666777929,"Scan","MR_RawData",563,"Erotics",2020-12-08 16:04:48,2020-12-08,16:04:48.411,10560,02:56:00,2504,2020-12-08 19:00:48,2020-12-08,"19:00:48",45,44,1,45
9254,2848,NA,"Scan","MR_RawData",706,"Firestone",2022-07-22 13:11:00,2022-07-22,13:11:00.011,1920,00:32:00,668,2022-07-22 13:43:00,2022-07-22,"13:43:00",9,8,1,9
9230,2842,-3.8524666706721,"Scan","MR_RawData",706,"Firestone",2022-07-22 13:39:08,2022-07-22,13:39:08.863,8640,02:24:00,2681,2022-07-22 16:03:08,2022-07-22,"16:03:08",37,36,1,36
6793,904,NA,"Scan","MR_RawData",450,"G3T002",2019-03-13 12:17:10,2019-03-13,12:17:10.691,10560,02:56:00,5030,2019-03-13 15:13:10,2019-03-13,"15:13:10",45,44,1,44
6800,907,-3.1275833328565,"Scan","MR_RawData",450,"G3T002",2019-03-13 15:10:03,2019-03-13,15:10:03.036,14160,03:56:00,4429,2019-03-13 19:06:03,2019-03-13,"19:06:03",60,59,1,60
9519,2949,NA,"Scan","MR_RawData",328,"Galdikas",2023-08-09 07:04:17,2023-08-09,07:04:17.977,10800,03:00:00,5171,2023-08-09 10:04:17,2023-08-09,"10:04:17",46,45,1,46
9520,2950,-179.891916668415,"Scan","MR_RawData",328,"Galdikas",2023-08-09 07:04:24,2023-08-09,07:04:24.462,10560,02:56:00,156,2023-08-09 10:00:24,2023-08-09,"10:00:24",45,44,1,45
9525,2955,NA,"Scan","MR_RawData",328,"Galdikas",2023-08-09 10:06:07,2023-08-09,10:06:07.907,10560,02:56:00,3205,2023-08-09 13:02:07,2023-08-09,"13:02:07",45,44,1,45
9521,2951,-175.169166668256,"Scan","MR_RawData",328,"Galdikas",2023-08-09 10:06:57,2023-08-09,10:06:57.757,10560,02:56:00,474,2023-08-09 13:02:57,2023-08-09,"13:02:57",45,44,1,45
9527,2957,NA,"Scan","MR_RawData",328,"Galdikas",2023-08-09 13:07:20,2023-08-09,13:07:20.347,10560,02:56:00,3797,2023-08-09 16:03:20,2023-08-09,"16:03:20",45,44,1,45
9522,2952,-175.482333334287,"Scan","MR_RawData",328,"Galdikas",2023-08-09 13:07:51,2023-08-09,13:07:51.407,10560,02:56:00,173,2023-08-09 16:03:51,2023-08-09,"16:03:51",45,44,1,45
9524,2954,NA,"Scan","MR_RawData",328,"Galdikas",2023-08-09 16:07:56,2023-08-09,16:07:56.063,10560,02:56:00,3079,2023-08-09 19:03:56,2023-08-09,"19:03:56",45,44,1,45
9523,2953,-175.351733330886,"Scan","MR_RawData",328,"Galdikas",2023-08-09 16:08:34,2023-08-09,16:08:34.959,10560,02:56:00,575,2023-08-09 19:04:34,2023-08-09,"19:04:34",45,44,1,45
7188,1280,NA,"Scan","MR_RawData",45,"Gemsbok 10",2020-01-24 07:05:09,2020-01-24,07:05:09.919,15120,04:12:00,6932,2020-01-24 11:17:09,2020-01-24,"11:17:09",64,63,1,63
7189,1281,-1.03945000171661,"Scan","MR_RawData",45,"Gemsbok 10",2020-01-24 11:16:07,2020-01-24,11:16:07.552,17760,04:56:00,6186,2020-01-24 16:12:07,2020-01-24,"16:12:07",75,74,1,75
7783,1833,NA,"Scan","MR_RawData",27,"Gemsbok 13",2018-04-03 13:16:24,2018-04-03,13:16:24.094,17352,04:49:12,4195,2018-04-03 18:05:36,2018-04-03,"18:05:36",73,72,1,72
7784,1834,-1.99403332869212,"Scan","MR_RawData",27,"Gemsbok 13",2018-04-03 18:03:36,2018-04-03,18:03:36.452,4320,01:12:00,1221,2018-04-03 19:15:36,2018-04-03,"19:15:36",19,18,1,19
6890,980,NA,"Scan","MR_RawData",27,"Gemsbok 13",2019-06-18 13:54:10,2019-06-18,13:54:10.654,7440,02:04:00,1723,2019-06-18 15:58:10,2019-06-18,"15:58:10",32,31,1,31
6891,981,-3.07256666819255,"Scan","MR_RawData",27,"Gemsbok 13",2019-06-18 15:55:06,2019-06-18,15:55:06.300,13920,03:52:00,4971,2019-06-18 19:47:06,2019-06-18,"19:47:06",59,58,1,59
6696,806,NA,"Scan","MR_RawData",37,"Gemsbok 3",2018-11-28 13:47:52,2018-11-28,13:47:52.115,1680,00:28:00,656,2018-11-28 14:15:52,2018-11-28,"14:15:52",8,7,1,8
6697,807,-0.905383332570394,"Scan","MR_RawData",37,"Gemsbok 3",2018-11-28 14:14:57,2018-11-28,14:14:57.792,14160,03:56:00,5674,2018-11-28 18:10:57,2018-11-28,"18:10:57",60,59,1,60
6792,904,NA,"Scan","MR_RawData",37,"Gemsbok 3",2019-03-13 12:17:10,2019-03-13,12:17:10.691,10560,02:56:00,5030,2019-03-13 15:13:10,2019-03-13,"15:13:10",45,44,1,44
6799,907,-3.1275833328565,"Scan","MR_RawData",37,"Gemsbok 3",2019-03-13 15:10:03,2019-03-13,15:10:03.036,14160,03:56:00,4429,2019-03-13 19:06:03,2019-03-13,"19:06:03",60,59,1,60
6830,934,NA,"Scan","MR_RawData",37,"Gemsbok 3",2019-05-24 11:52:17,2019-05-24,11:52:17.207,8640,02:24:00,3047,2019-05-24 14:16:17,2019-05-24,"14:16:17",37,36,1,36
6831,935,-4.6528666694959,"Scan","MR_RawData",37,"Gemsbok 3",2019-05-24 14:11:38,2019-05-24,14:11:38.035,14160,03:56:00,7340,2019-05-24 18:07:38,2019-05-24,"18:07:38",60,59,1,60
7003,1093,NA,"Scan","MR_RawData",37,"Gemsbok 3",2019-08-30 15:54:47,2019-08-30,15:54:47.251,9120,02:32:00,2692,2019-08-30 18:26:47,2019-08-30,"18:26:47",39,38,1,38
7004,1094,-0.0933833320935567,"Scan","MR_RawData",37,"Gemsbok 3",2019-08-30 18:26:41,2019-08-30,18:26:41.648,5520,01:32:00,1987,2019-08-30 19:58:41,2019-08-30,"19:58:41",24,23,1,23
9252,2848,NA,"Scan","MR_RawData",704,"Guinness",2022-07-22 13:11:00,2022-07-22,13:11:00.011,1920,00:32:00,668,2022-07-22 13:43:00,2022-07-22,"13:43:00",9,8,1,9
