"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",56,-133,"RA",NA,NA,38196,3,73,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",68,-121,"RA",NA,NA,38321,3,68,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",82,-107,"PreEviction16","RA",NA,38441,3,70,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",89,-100,"PreEviction16","FirstConc",NA,38511,3,67,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",95,-94,"PostEviction14","FirstConc",NA,38567,3,76,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",98,-91,"FirstConc","RA",NA,38598,3,82,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",101,-88,"FirstConc",NA,NA,38643,3,78,50
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",103,-86,"FirstConc",NA,NA,38665,3,84,50
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",105,-84,"FirstConc",NA,NA,38698,3,74,50
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",107,-82,"FirstConc",NA,NA,38727,3,77,50
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",114,-75,"PostEviction14",NA,NA,38764,3,85,50
