"ExperimentalGroup","AnimalID","Sex","Treatment","BS_Original","EvictionStatus","IsolationDate","IsolationPeriod","PairingDate","EvictionDate","EvictionPairingDayDiff","Eviction_GS","EvictionCategory","FirstDCParturitionDate","UrineDate","UrineNumber","UrineDelay","VolumeCollected","NextParturition_ParturitionDate","NextParturition_ParturitionColony"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-09-02,33997,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-09-08,34089,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-09-16,34207,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-09-22,34299,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-09-29,34385,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-04,34459,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-09,34538,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-13,34594,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-15,34630,NA,0.3,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-17,34657,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-19,34688,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-21,34713,NA,1.2,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-23,34737,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-25,34759,NA,1.4,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-10-27,34787,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-12-28,35564,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-01-13,35779,NA,1.7,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-01-16,35817,NA,0.5,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-01-19,35868,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-01-27,35982,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-02-03,36069,NA,1.4,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-02-11,36192,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-02-18,36292,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-02-21,36330,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-02-24,36381,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-03-08,36543,NA,1.8,NA,NA
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2023-04-13,37067,NA,1.8,NA,NA
