"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",15,-87,"PostEviction14","FirstConc",NA,36671,2,48,50
"Rapid_Conc",20,"GhostShip","Sub","MBF006","Helper","Evictee",3,NA,"PostPair10","PreEviction16",NA,36506,2,42,100
"Rapid_Conc",20,"GhostShip","Sub","MBF006","Helper","Evictee",5,NA,"PostPair10","PreEviction16",NA,36536,2,38,100
"Rapid_Conc",20,"GhostShip","Sub","MBF006","Helper","Evictee",7,NA,"PostPair10","PreEviction16",NA,36552,2,46,100
"Rapid_Conc",20,"GhostShip","Sub","MBF006","Helper","Evictee",9,NA,"PostEviction14",NA,NA,36593,2,44,100
"Rapid_Conc",20,"GhostShip","Sub","MBF006","Helper","Evictee",29,NA,"PostEviction14",NA,NA,36884,2,56,100
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",1,-94,"PostPair10","PreEviction16","FirstConc",36470,2,22,100
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",3,-92,"PostPair10","PreEviction16","FirstConc",36503,2,39,100
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",5,-90,"PostPair10","PreEviction16","FirstConc",36533,2,50,50
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",7,-88,"PostPair10","PreEviction16","FirstConc",36551,2,54,50
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",9,-86,"PostEviction14","FirstConc",NA,36586,2,53,50
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",11,-84,"FirstConc",NA,NA,36619,2,34,50
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",13,-82,"FirstConc",NA,NA,36649,2,31,50
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",15,-80,"FirstConc",NA,NA,36670,2,52,50
"Rapid_Conc",20,"GhostShip","Sub","MBF003","Helper","Evictor",29,-66,"PostEviction14",NA,NA,36880,2,60,50
"Rapid_Conc",21,"Kasteel","Sub","ORF018","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,36468,2,25,100
"Rapid_Conc",21,"Kasteel","Sub","ORF018","Helper","Evictee",3,NA,"PostPair10","PreEviction16",NA,36501,2,47,100
"Rapid_Conc",21,"Kasteel","Sub","ORF018","Helper","Evictee",5,NA,"PostPair10","PreEviction16",NA,36528,2,35,100
"Rapid_Conc",21,"Kasteel","Sub","ORF018","Helper","Evictee",7,NA,"PostEviction14",NA,NA,36562,2,37,100
"Rapid_Conc",21,"Kasteel","Sub","ORF018","Helper","Evictee",29,NA,"PostEviction14",NA,NA,36887,2,57,100
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",1,-101,"PostPair10","PreEviction16",NA,36475,2,23,100
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",3,-99,"PostPair10","PreEviction16","FirstConc",36507,2,43,100
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",5,-97,"PostPair10","PreEviction16","FirstConc",36529,2,45,100
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",7,-95,"PostEviction14","FirstConc",NA,36565,2,36,100
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",11,-91,"FirstConc",NA,NA,36625,2,41,100
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",13,-89,"FirstConc","RA",NA,36655,2,49,50
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",15,-87,"FirstConc",NA,NA,36683,2,58,50
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",17,-85,"FirstConc",NA,NA,36713,2,59,50
"Rapid_Conc",21,"Kasteel","Sub","ORF005","Helper","Evictor",19,-83,"FirstConc",NA,NA,36744,2,55,50
"Rapid_Conc",23,"Asahi","Sub","TIF025","Helper","Evictee",1,NA,"PostEviction14",NA,NA,37440,2,67,100
"Rapid_Conc",23,"Asahi","Sub","TIF025","Helper","Evictee",17,NA,"PostEviction14",NA,NA,37671,3,7,100
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",1,-97,"PostEviction14","FirstConc",NA,37439,2,61,100
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",3,-95,"FirstConc",NA,NA,37459,2,63,100
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",5,-93,"FirstConc",NA,NA,37499,2,79,100
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",7,-91,"FirstConc",NA,NA,37526,3,16,100
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",9,-89,"FirstConc",NA,NA,37554,3,5,50
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",11,-87,"FirstConc",NA,NA,37578,3,2,50
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",13,-85,"FirstConc",NA,NA,37609,3,18,50
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",15,-83,"PostEviction14","FirstConc",NA,37645,3,15,50
"Rapid_Conc",23,"Asahi","Sub","TIF039","Helper","Evictor",17,-81,"FirstConc",NA,NA,37670,3,17,50
"Rapid_Conc",24,"Featherstone","Sub","TIF038","Helper","Evictee",1,NA,"PostPair10","PreEviction16",NA,37442,2,69,100
"Rapid_Conc",24,"Featherstone","Sub","TIF038","Helper","Evictee",3,NA,"PostPair10","PreEviction16",NA,37472,2,68,100
"Rapid_Conc",24,"Featherstone","Sub","TIF038","Helper","Evictee",5,NA,"PostEviction14",NA,NA,37502,3,3,100
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",1,-96,"PostPair10","PreEviction16","FirstConc",37434,2,71,100
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",3,-94,"PostPair10","PreEviction16","FirstConc",37469,2,72,100
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",5,-92,"PostEviction14","FirstConc",NA,37500,2,81,100
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",7,-90,"FirstConc",NA,NA,37524,3,10,50
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",9,-88,"FirstConc",NA,NA,37548,2,80,50
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",11,-86,"FirstConc",NA,NA,37582,3,13,50
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",13,-84,"FirstConc",NA,NA,37608,3,8,50
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",15,-82,"FirstConc",NA,NA,37637,3,14,50
"Rapid_Conc",24,"Featherstone","Sub","TIF036","Helper","Evictor",17,-80,"FirstConc",NA,NA,37673,2,74,50
